plan_version,row_id,artifact_id,case_id,family,case_class,variant,form,surface_mode,requested_model_id,model_snapshot_id,route,upstream_provider,fallbacks_allowed,samples,max_tokens,est_input_tokens_per_call,est_output_tokens_per_call,usd_per_mtok_input,usd_per_mtok_output,est_usd,notes
1.2,BBBA-07-NULL__base__horizon-silent--closed--claude-opus-5,BBBA-07-NULL__base__horizon-silent,BBBA-07-NULL,BBBA-07,null,base,closed,foxset_clinical,claude-opus-5,claude-opus-5,anthropic_native,anthropic,false,3,512,1200,600,5,25,0.063000,
1.2,BBBA-07-NULL__base__horizon-silent--closed--deepseek-deepseek-v4-pro,BBBA-07-NULL__base__horizon-silent,BBBA-07-NULL,BBBA-07,null,base,closed,foxset_clinical,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro-20260423,openrouter,DeepSeek,false,3,512,1200,600,0.435,0.87,0.003132,
1.2,BBBA-07-NULL__base__horizon-silent--closed--openai-gpt-5-6-sol,BBBA-07-NULL__base__horizon-silent,BBBA-07-NULL,BBBA-07,null,base,closed,foxset_clinical,openai/gpt-5.6-sol,openai/gpt-5.6-sol-20260709,openrouter,OpenAI,false,3,512,1200,600,5,30,0.072000,
1.2,BBBA-07-NULL__base__horizon-silent--closed--openai-gpt-5-6-terra,BBBA-07-NULL__base__horizon-silent,BBBA-07-NULL,BBBA-07,null,base,closed,foxset_clinical,openai/gpt-5.6-terra,openai/gpt-5.6-terra-20260709,openrouter,OpenAI,false,3,512,1200,600,1,6,0.014400,
1.2,BBBA-07-NULL__base__horizon-silent--closed--qwen-qwen3-5-397b-a17b,BBBA-07-NULL__base__horizon-silent,BBBA-07-NULL,BBBA-07,null,base,closed,foxset_clinical,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-397b-a17b-20260216,openrouter,Alibaba,false,3,4096,1200,600,0.39,2.34,0.005616,
1.2,BBBA-07-NULL__base__horizon-silent--open--claude-opus-5,BBBA-07-NULL__base__horizon-silent,BBBA-07-NULL,BBBA-07,null,base,open,foxset_clinical,claude-opus-5,claude-opus-5,anthropic_native,anthropic,false,3,1024,1200,600,5,25,0.063000,
1.2,BBBA-07-NULL__base__horizon-silent--open--deepseek-deepseek-v4-pro,BBBA-07-NULL__base__horizon-silent,BBBA-07-NULL,BBBA-07,null,base,open,foxset_clinical,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro-20260423,openrouter,DeepSeek,false,3,1024,1200,600,0.435,0.87,0.003132,
1.2,BBBA-07-NULL__base__horizon-silent--open--openai-gpt-5-6-sol,BBBA-07-NULL__base__horizon-silent,BBBA-07-NULL,BBBA-07,null,base,open,foxset_clinical,openai/gpt-5.6-sol,openai/gpt-5.6-sol-20260709,openrouter,OpenAI,false,3,1024,1200,600,5,30,0.072000,
1.2,BBBA-07-NULL__base__horizon-silent--open--openai-gpt-5-6-terra,BBBA-07-NULL__base__horizon-silent,BBBA-07-NULL,BBBA-07,null,base,open,foxset_clinical,openai/gpt-5.6-terra,openai/gpt-5.6-terra-20260709,openrouter,OpenAI,false,3,1024,1200,600,1,6,0.014400,
1.2,BBBA-07-NULL__base__horizon-silent--open--qwen-qwen3-5-397b-a17b,BBBA-07-NULL__base__horizon-silent,BBBA-07-NULL,BBBA-07,null,base,open,foxset_clinical,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-397b-a17b-20260216,openrouter,Alibaba,false,3,4096,1200,600,0.39,2.34,0.005616,
1.2,CAGO-06-MERCY__base__horizon-silent--closed--claude-opus-5,CAGO-06-MERCY__base__horizon-silent,CAGO-06-MERCY,CAGO-06,mercy,base,closed,foxset_clinical,claude-opus-5,claude-opus-5,anthropic_native,anthropic,false,3,512,1200,600,5,25,0.063000,
1.2,CAGO-06-MERCY__base__horizon-silent--closed--deepseek-deepseek-v4-pro,CAGO-06-MERCY__base__horizon-silent,CAGO-06-MERCY,CAGO-06,mercy,base,closed,foxset_clinical,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro-20260423,openrouter,DeepSeek,false,3,512,1200,600,0.435,0.87,0.003132,
1.2,CAGO-06-MERCY__base__horizon-silent--closed--openai-gpt-5-6-sol,CAGO-06-MERCY__base__horizon-silent,CAGO-06-MERCY,CAGO-06,mercy,base,closed,foxset_clinical,openai/gpt-5.6-sol,openai/gpt-5.6-sol-20260709,openrouter,OpenAI,false,3,512,1200,600,5,30,0.072000,
1.2,CAGO-06-MERCY__base__horizon-silent--closed--openai-gpt-5-6-terra,CAGO-06-MERCY__base__horizon-silent,CAGO-06-MERCY,CAGO-06,mercy,base,closed,foxset_clinical,openai/gpt-5.6-terra,openai/gpt-5.6-terra-20260709,openrouter,OpenAI,false,3,512,1200,600,1,6,0.014400,
1.2,CAGO-06-MERCY__base__horizon-silent--closed--qwen-qwen3-5-397b-a17b,CAGO-06-MERCY__base__horizon-silent,CAGO-06-MERCY,CAGO-06,mercy,base,closed,foxset_clinical,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-397b-a17b-20260216,openrouter,Alibaba,false,3,4096,1200,600,0.39,2.34,0.005616,
1.2,CAGO-06-MERCY__base__horizon-silent--open--claude-opus-5,CAGO-06-MERCY__base__horizon-silent,CAGO-06-MERCY,CAGO-06,mercy,base,open,foxset_clinical,claude-opus-5,claude-opus-5,anthropic_native,anthropic,false,3,1024,1200,600,5,25,0.063000,
1.2,CAGO-06-MERCY__base__horizon-silent--open--deepseek-deepseek-v4-pro,CAGO-06-MERCY__base__horizon-silent,CAGO-06-MERCY,CAGO-06,mercy,base,open,foxset_clinical,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro-20260423,openrouter,DeepSeek,false,3,1024,1200,600,0.435,0.87,0.003132,
1.2,CAGO-06-MERCY__base__horizon-silent--open--openai-gpt-5-6-sol,CAGO-06-MERCY__base__horizon-silent,CAGO-06-MERCY,CAGO-06,mercy,base,open,foxset_clinical,openai/gpt-5.6-sol,openai/gpt-5.6-sol-20260709,openrouter,OpenAI,false,3,1024,1200,600,5,30,0.072000,
1.2,CAGO-06-MERCY__base__horizon-silent--open--openai-gpt-5-6-terra,CAGO-06-MERCY__base__horizon-silent,CAGO-06-MERCY,CAGO-06,mercy,base,open,foxset_clinical,openai/gpt-5.6-terra,openai/gpt-5.6-terra-20260709,openrouter,OpenAI,false,3,1024,1200,600,1,6,0.014400,
1.2,CAGO-06-MERCY__base__horizon-silent--open--qwen-qwen3-5-397b-a17b,CAGO-06-MERCY__base__horizon-silent,CAGO-06-MERCY,CAGO-06,mercy,base,open,foxset_clinical,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-397b-a17b-20260216,openrouter,Alibaba,false,3,4096,1200,600,0.39,2.34,0.005616,
1.2,CAGO-06-NULL__base__horizon-silent--closed--claude-opus-5,CAGO-06-NULL__base__horizon-silent,CAGO-06-NULL,CAGO-06,null,base,closed,foxset_clinical,claude-opus-5,claude-opus-5,anthropic_native,anthropic,false,3,512,1200,600,5,25,0.063000,
1.2,CAGO-06-NULL__base__horizon-silent--closed--deepseek-deepseek-v4-pro,CAGO-06-NULL__base__horizon-silent,CAGO-06-NULL,CAGO-06,null,base,closed,foxset_clinical,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro-20260423,openrouter,DeepSeek,false,3,512,1200,600,0.435,0.87,0.003132,
1.2,CAGO-06-NULL__base__horizon-silent--closed--openai-gpt-5-6-sol,CAGO-06-NULL__base__horizon-silent,CAGO-06-NULL,CAGO-06,null,base,closed,foxset_clinical,openai/gpt-5.6-sol,openai/gpt-5.6-sol-20260709,openrouter,OpenAI,false,3,512,1200,600,5,30,0.072000,
1.2,CAGO-06-NULL__base__horizon-silent--closed--openai-gpt-5-6-terra,CAGO-06-NULL__base__horizon-silent,CAGO-06-NULL,CAGO-06,null,base,closed,foxset_clinical,openai/gpt-5.6-terra,openai/gpt-5.6-terra-20260709,openrouter,OpenAI,false,3,512,1200,600,1,6,0.014400,
1.2,CAGO-06-NULL__base__horizon-silent--closed--qwen-qwen3-5-397b-a17b,CAGO-06-NULL__base__horizon-silent,CAGO-06-NULL,CAGO-06,null,base,closed,foxset_clinical,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-397b-a17b-20260216,openrouter,Alibaba,false,3,4096,1200,600,0.39,2.34,0.005616,
1.2,CAGO-06-NULL__base__horizon-silent--open--claude-opus-5,CAGO-06-NULL__base__horizon-silent,CAGO-06-NULL,CAGO-06,null,base,open,foxset_clinical,claude-opus-5,claude-opus-5,anthropic_native,anthropic,false,3,1024,1200,600,5,25,0.063000,
1.2,CAGO-06-NULL__base__horizon-silent--open--deepseek-deepseek-v4-pro,CAGO-06-NULL__base__horizon-silent,CAGO-06-NULL,CAGO-06,null,base,open,foxset_clinical,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro-20260423,openrouter,DeepSeek,false,3,1024,1200,600,0.435,0.87,0.003132,
1.2,CAGO-06-NULL__base__horizon-silent--open--openai-gpt-5-6-sol,CAGO-06-NULL__base__horizon-silent,CAGO-06-NULL,CAGO-06,null,base,open,foxset_clinical,openai/gpt-5.6-sol,openai/gpt-5.6-sol-20260709,openrouter,OpenAI,false,3,1024,1200,600,5,30,0.072000,
1.2,CAGO-06-NULL__base__horizon-silent--open--openai-gpt-5-6-terra,CAGO-06-NULL__base__horizon-silent,CAGO-06-NULL,CAGO-06,null,base,open,foxset_clinical,openai/gpt-5.6-terra,openai/gpt-5.6-terra-20260709,openrouter,OpenAI,false,3,1024,1200,600,1,6,0.014400,
1.2,CAGO-06-NULL__base__horizon-silent--open--qwen-qwen3-5-397b-a17b,CAGO-06-NULL__base__horizon-silent,CAGO-06-NULL,CAGO-06,null,base,open,foxset_clinical,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-397b-a17b-20260216,openrouter,Alibaba,false,3,4096,1200,600,0.39,2.34,0.005616,
1.2,EABT-04-MERCY__base__horizon-silent--closed--claude-opus-5,EABT-04-MERCY__base__horizon-silent,EABT-04-MERCY,EABT-04,mercy,base,closed,foxset_clinical,claude-opus-5,claude-opus-5,anthropic_native,anthropic,false,3,512,1200,600,5,25,0.063000,
1.2,EABT-04-MERCY__base__horizon-silent--closed--deepseek-deepseek-v4-pro,EABT-04-MERCY__base__horizon-silent,EABT-04-MERCY,EABT-04,mercy,base,closed,foxset_clinical,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro-20260423,openrouter,DeepSeek,false,3,512,1200,600,0.435,0.87,0.003132,
1.2,EABT-04-MERCY__base__horizon-silent--closed--openai-gpt-5-6-sol,EABT-04-MERCY__base__horizon-silent,EABT-04-MERCY,EABT-04,mercy,base,closed,foxset_clinical,openai/gpt-5.6-sol,openai/gpt-5.6-sol-20260709,openrouter,OpenAI,false,3,512,1200,600,5,30,0.072000,
1.2,EABT-04-MERCY__base__horizon-silent--closed--openai-gpt-5-6-terra,EABT-04-MERCY__base__horizon-silent,EABT-04-MERCY,EABT-04,mercy,base,closed,foxset_clinical,openai/gpt-5.6-terra,openai/gpt-5.6-terra-20260709,openrouter,OpenAI,false,3,512,1200,600,1,6,0.014400,
1.2,EABT-04-MERCY__base__horizon-silent--closed--qwen-qwen3-5-397b-a17b,EABT-04-MERCY__base__horizon-silent,EABT-04-MERCY,EABT-04,mercy,base,closed,foxset_clinical,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-397b-a17b-20260216,openrouter,Alibaba,false,3,4096,1200,600,0.39,2.34,0.005616,
1.2,EABT-04-MERCY__base__horizon-silent--open--claude-opus-5,EABT-04-MERCY__base__horizon-silent,EABT-04-MERCY,EABT-04,mercy,base,open,foxset_clinical,claude-opus-5,claude-opus-5,anthropic_native,anthropic,false,3,1024,1200,600,5,25,0.063000,
1.2,EABT-04-MERCY__base__horizon-silent--open--deepseek-deepseek-v4-pro,EABT-04-MERCY__base__horizon-silent,EABT-04-MERCY,EABT-04,mercy,base,open,foxset_clinical,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro-20260423,openrouter,DeepSeek,false,3,1024,1200,600,0.435,0.87,0.003132,
1.2,EABT-04-MERCY__base__horizon-silent--open--openai-gpt-5-6-sol,EABT-04-MERCY__base__horizon-silent,EABT-04-MERCY,EABT-04,mercy,base,open,foxset_clinical,openai/gpt-5.6-sol,openai/gpt-5.6-sol-20260709,openrouter,OpenAI,false,3,1024,1200,600,5,30,0.072000,
1.2,EABT-04-MERCY__base__horizon-silent--open--openai-gpt-5-6-terra,EABT-04-MERCY__base__horizon-silent,EABT-04-MERCY,EABT-04,mercy,base,open,foxset_clinical,openai/gpt-5.6-terra,openai/gpt-5.6-terra-20260709,openrouter,OpenAI,false,3,1024,1200,600,1,6,0.014400,
1.2,EABT-04-MERCY__base__horizon-silent--open--qwen-qwen3-5-397b-a17b,EABT-04-MERCY__base__horizon-silent,EABT-04-MERCY,EABT-04,mercy,base,open,foxset_clinical,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-397b-a17b-20260216,openrouter,Alibaba,false,3,4096,1200,600,0.39,2.34,0.005616,
1.2,EABT-04-NULL__base__horizon-silent--closed--claude-opus-5,EABT-04-NULL__base__horizon-silent,EABT-04-NULL,EABT-04,null,base,closed,foxset_clinical,claude-opus-5,claude-opus-5,anthropic_native,anthropic,false,3,512,1200,600,5,25,0.063000,
1.2,EABT-04-NULL__base__horizon-silent--closed--deepseek-deepseek-v4-pro,EABT-04-NULL__base__horizon-silent,EABT-04-NULL,EABT-04,null,base,closed,foxset_clinical,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro-20260423,openrouter,DeepSeek,false,3,512,1200,600,0.435,0.87,0.003132,
1.2,EABT-04-NULL__base__horizon-silent--closed--openai-gpt-5-6-sol,EABT-04-NULL__base__horizon-silent,EABT-04-NULL,EABT-04,null,base,closed,foxset_clinical,openai/gpt-5.6-sol,openai/gpt-5.6-sol-20260709,openrouter,OpenAI,false,3,512,1200,600,5,30,0.072000,
1.2,EABT-04-NULL__base__horizon-silent--closed--openai-gpt-5-6-terra,EABT-04-NULL__base__horizon-silent,EABT-04-NULL,EABT-04,null,base,closed,foxset_clinical,openai/gpt-5.6-terra,openai/gpt-5.6-terra-20260709,openrouter,OpenAI,false,3,512,1200,600,1,6,0.014400,
1.2,EABT-04-NULL__base__horizon-silent--closed--qwen-qwen3-5-397b-a17b,EABT-04-NULL__base__horizon-silent,EABT-04-NULL,EABT-04,null,base,closed,foxset_clinical,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-397b-a17b-20260216,openrouter,Alibaba,false,3,4096,1200,600,0.39,2.34,0.005616,
1.2,EABT-04-NULL__base__horizon-silent--open--claude-opus-5,EABT-04-NULL__base__horizon-silent,EABT-04-NULL,EABT-04,null,base,open,foxset_clinical,claude-opus-5,claude-opus-5,anthropic_native,anthropic,false,3,1024,1200,600,5,25,0.063000,
1.2,EABT-04-NULL__base__horizon-silent--open--deepseek-deepseek-v4-pro,EABT-04-NULL__base__horizon-silent,EABT-04-NULL,EABT-04,null,base,open,foxset_clinical,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro-20260423,openrouter,DeepSeek,false,3,1024,1200,600,0.435,0.87,0.003132,
1.2,EABT-04-NULL__base__horizon-silent--open--openai-gpt-5-6-sol,EABT-04-NULL__base__horizon-silent,EABT-04-NULL,EABT-04,null,base,open,foxset_clinical,openai/gpt-5.6-sol,openai/gpt-5.6-sol-20260709,openrouter,OpenAI,false,3,1024,1200,600,5,30,0.072000,
1.2,EABT-04-NULL__base__horizon-silent--open--openai-gpt-5-6-terra,EABT-04-NULL__base__horizon-silent,EABT-04-NULL,EABT-04,null,base,open,foxset_clinical,openai/gpt-5.6-terra,openai/gpt-5.6-terra-20260709,openrouter,OpenAI,false,3,1024,1200,600,1,6,0.014400,
1.2,EABT-04-NULL__base__horizon-silent--open--qwen-qwen3-5-397b-a17b,EABT-04-NULL__base__horizon-silent,EABT-04-NULL,EABT-04,null,base,open,foxset_clinical,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-397b-a17b-20260216,openrouter,Alibaba,false,3,4096,1200,600,0.39,2.34,0.005616,
1.2,EACO-08-MERCY__base__horizon-silent--closed--claude-opus-5,EACO-08-MERCY__base__horizon-silent,EACO-08-MERCY,EACO-08,mercy,base,closed,foxset_clinical,claude-opus-5,claude-opus-5,anthropic_native,anthropic,false,3,512,1200,600,5,25,0.063000,
1.2,EACO-08-MERCY__base__horizon-silent--closed--deepseek-deepseek-v4-pro,EACO-08-MERCY__base__horizon-silent,EACO-08-MERCY,EACO-08,mercy,base,closed,foxset_clinical,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro-20260423,openrouter,DeepSeek,false,3,512,1200,600,0.435,0.87,0.003132,
1.2,EACO-08-MERCY__base__horizon-silent--closed--openai-gpt-5-6-sol,EACO-08-MERCY__base__horizon-silent,EACO-08-MERCY,EACO-08,mercy,base,closed,foxset_clinical,openai/gpt-5.6-sol,openai/gpt-5.6-sol-20260709,openrouter,OpenAI,false,3,512,1200,600,5,30,0.072000,
1.2,EACO-08-MERCY__base__horizon-silent--closed--openai-gpt-5-6-terra,EACO-08-MERCY__base__horizon-silent,EACO-08-MERCY,EACO-08,mercy,base,closed,foxset_clinical,openai/gpt-5.6-terra,openai/gpt-5.6-terra-20260709,openrouter,OpenAI,false,3,512,1200,600,1,6,0.014400,
1.2,EACO-08-MERCY__base__horizon-silent--closed--qwen-qwen3-5-397b-a17b,EACO-08-MERCY__base__horizon-silent,EACO-08-MERCY,EACO-08,mercy,base,closed,foxset_clinical,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-397b-a17b-20260216,openrouter,Alibaba,false,3,4096,1200,600,0.39,2.34,0.005616,
1.2,EACO-08-MERCY__base__horizon-silent--open--claude-opus-5,EACO-08-MERCY__base__horizon-silent,EACO-08-MERCY,EACO-08,mercy,base,open,foxset_clinical,claude-opus-5,claude-opus-5,anthropic_native,anthropic,false,3,1024,1200,600,5,25,0.063000,
1.2,EACO-08-MERCY__base__horizon-silent--open--deepseek-deepseek-v4-pro,EACO-08-MERCY__base__horizon-silent,EACO-08-MERCY,EACO-08,mercy,base,open,foxset_clinical,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro-20260423,openrouter,DeepSeek,false,3,1024,1200,600,0.435,0.87,0.003132,
1.2,EACO-08-MERCY__base__horizon-silent--open--openai-gpt-5-6-sol,EACO-08-MERCY__base__horizon-silent,EACO-08-MERCY,EACO-08,mercy,base,open,foxset_clinical,openai/gpt-5.6-sol,openai/gpt-5.6-sol-20260709,openrouter,OpenAI,false,3,1024,1200,600,5,30,0.072000,
1.2,EACO-08-MERCY__base__horizon-silent--open--openai-gpt-5-6-terra,EACO-08-MERCY__base__horizon-silent,EACO-08-MERCY,EACO-08,mercy,base,open,foxset_clinical,openai/gpt-5.6-terra,openai/gpt-5.6-terra-20260709,openrouter,OpenAI,false,3,1024,1200,600,1,6,0.014400,
1.2,EACO-08-MERCY__base__horizon-silent--open--qwen-qwen3-5-397b-a17b,EACO-08-MERCY__base__horizon-silent,EACO-08-MERCY,EACO-08,mercy,base,open,foxset_clinical,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-397b-a17b-20260216,openrouter,Alibaba,false,3,4096,1200,600,0.39,2.34,0.005616,
1.2,EACO-08-NULL__base__horizon-silent--closed--claude-opus-5,EACO-08-NULL__base__horizon-silent,EACO-08-NULL,EACO-08,null,base,closed,foxset_clinical,claude-opus-5,claude-opus-5,anthropic_native,anthropic,false,3,512,1200,600,5,25,0.063000,
1.2,EACO-08-NULL__base__horizon-silent--closed--deepseek-deepseek-v4-pro,EACO-08-NULL__base__horizon-silent,EACO-08-NULL,EACO-08,null,base,closed,foxset_clinical,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro-20260423,openrouter,DeepSeek,false,3,512,1200,600,0.435,0.87,0.003132,
1.2,EACO-08-NULL__base__horizon-silent--closed--openai-gpt-5-6-sol,EACO-08-NULL__base__horizon-silent,EACO-08-NULL,EACO-08,null,base,closed,foxset_clinical,openai/gpt-5.6-sol,openai/gpt-5.6-sol-20260709,openrouter,OpenAI,false,3,512,1200,600,5,30,0.072000,
1.2,EACO-08-NULL__base__horizon-silent--closed--openai-gpt-5-6-terra,EACO-08-NULL__base__horizon-silent,EACO-08-NULL,EACO-08,null,base,closed,foxset_clinical,openai/gpt-5.6-terra,openai/gpt-5.6-terra-20260709,openrouter,OpenAI,false,3,512,1200,600,1,6,0.014400,
1.2,EACO-08-NULL__base__horizon-silent--closed--qwen-qwen3-5-397b-a17b,EACO-08-NULL__base__horizon-silent,EACO-08-NULL,EACO-08,null,base,closed,foxset_clinical,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-397b-a17b-20260216,openrouter,Alibaba,false,3,4096,1200,600,0.39,2.34,0.005616,
1.2,EACO-08-NULL__base__horizon-silent--open--claude-opus-5,EACO-08-NULL__base__horizon-silent,EACO-08-NULL,EACO-08,null,base,open,foxset_clinical,claude-opus-5,claude-opus-5,anthropic_native,anthropic,false,3,1024,1200,600,5,25,0.063000,
1.2,EACO-08-NULL__base__horizon-silent--open--deepseek-deepseek-v4-pro,EACO-08-NULL__base__horizon-silent,EACO-08-NULL,EACO-08,null,base,open,foxset_clinical,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro-20260423,openrouter,DeepSeek,false,3,1024,1200,600,0.435,0.87,0.003132,
1.2,EACO-08-NULL__base__horizon-silent--open--openai-gpt-5-6-sol,EACO-08-NULL__base__horizon-silent,EACO-08-NULL,EACO-08,null,base,open,foxset_clinical,openai/gpt-5.6-sol,openai/gpt-5.6-sol-20260709,openrouter,OpenAI,false,3,1024,1200,600,5,30,0.072000,
1.2,EACO-08-NULL__base__horizon-silent--open--openai-gpt-5-6-terra,EACO-08-NULL__base__horizon-silent,EACO-08-NULL,EACO-08,null,base,open,foxset_clinical,openai/gpt-5.6-terra,openai/gpt-5.6-terra-20260709,openrouter,OpenAI,false,3,1024,1200,600,1,6,0.014400,
1.2,EACO-08-NULL__base__horizon-silent--open--qwen-qwen3-5-397b-a17b,EACO-08-NULL__base__horizon-silent,EACO-08-NULL,EACO-08,null,base,open,foxset_clinical,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-397b-a17b-20260216,openrouter,Alibaba,false,3,4096,1200,600,0.39,2.34,0.005616,
1.2,EAGS-02-MERCY__base__horizon-silent--closed--claude-opus-5,EAGS-02-MERCY__base__horizon-silent,EAGS-02-MERCY,EAGS-02,mercy,base,closed,foxset_clinical,claude-opus-5,claude-opus-5,anthropic_native,anthropic,false,3,512,1200,600,5,25,0.063000,
1.2,EAGS-02-MERCY__base__horizon-silent--closed--deepseek-deepseek-v4-pro,EAGS-02-MERCY__base__horizon-silent,EAGS-02-MERCY,EAGS-02,mercy,base,closed,foxset_clinical,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro-20260423,openrouter,DeepSeek,false,3,512,1200,600,0.435,0.87,0.003132,
1.2,EAGS-02-MERCY__base__horizon-silent--closed--openai-gpt-5-6-sol,EAGS-02-MERCY__base__horizon-silent,EAGS-02-MERCY,EAGS-02,mercy,base,closed,foxset_clinical,openai/gpt-5.6-sol,openai/gpt-5.6-sol-20260709,openrouter,OpenAI,false,3,512,1200,600,5,30,0.072000,
1.2,EAGS-02-MERCY__base__horizon-silent--closed--openai-gpt-5-6-terra,EAGS-02-MERCY__base__horizon-silent,EAGS-02-MERCY,EAGS-02,mercy,base,closed,foxset_clinical,openai/gpt-5.6-terra,openai/gpt-5.6-terra-20260709,openrouter,OpenAI,false,3,512,1200,600,1,6,0.014400,
1.2,EAGS-02-MERCY__base__horizon-silent--closed--qwen-qwen3-5-397b-a17b,EAGS-02-MERCY__base__horizon-silent,EAGS-02-MERCY,EAGS-02,mercy,base,closed,foxset_clinical,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-397b-a17b-20260216,openrouter,Alibaba,false,3,4096,1200,600,0.39,2.34,0.005616,
1.2,EAGS-02-MERCY__base__horizon-silent--open--claude-opus-5,EAGS-02-MERCY__base__horizon-silent,EAGS-02-MERCY,EAGS-02,mercy,base,open,foxset_clinical,claude-opus-5,claude-opus-5,anthropic_native,anthropic,false,3,1024,1200,600,5,25,0.063000,
